completion_tokens,prompt_tokens,total_tokens,elapsed_time,batches,prompt_name
151682,173433,325115,17:18.439,74,Id
135989,167926,303915,14:46.384,72,Name
3434,3288,6722,00:24.055,1,Year
98980,129280,228260,11:43.142,49,Release Date
78328,88989,167317,09:01.176,38,Director
133944,161983,295927,14:50.751,62,Creator
151389,225195,376584,17:51.318,73,Actors
131531,576019,707550,19:17.084,74,Cast
8517,13698,22215,00:56.479,6,Language
11444,10001,21445,01:14.175,4,Country
4021,5255,9276,00:30.535,3,Duration
5091,6364,11455,00:36.286,3,RatingValue
125747,131502,257249,14:24.772,60,RatingCount
108706,129327,238033,13:00.335,53,ReviewCount
14936,18007,32943,01:56.228,8,Genre
58562,98016,156578,06:59.091,32,Filming Locations
