completion_tokens,prompt_tokens,total_tokens,elapsed_time,batches,prompt_name
147334,173433,320767,16:52.328,74,Id
146910,167926,314836,16:30.085,72,Name
4339,3288,7627,00:29.224,1,Year
105542,129280,234822,11:59.729,49,Release Date
81934,88989,170923,09:22.131,38,Director
128061,161983,290044,14:10.044,62,Creator
149205,225195,374400,16:48.943,73,Actors
135263,576019,711282,18:55.176,74,Cast
12415,13698,26113,01:27.809,6,Language
9137,10001,19138,01:10.058,4,Country
4209,5255,9464,00:27.374,3,Duration
6717,6382,13099,00:44.675,3,RatingValue
136423,131502,267925,14:55.066,60,RatingCount
102999,129327,232326,11:32.377,53,ReviewCount
14375,18007,32382,01:41.288,8,Genre
68556,98016,166572,08:39.491,32,Filming Locations
140159,394364,534523,17:29.724,73,Description
