completion_tokens,prompt_tokens,total_tokens,elapsed_time,batches,prompt_name
16352,226636,242988,02:45.319,74,"Name, Year"
39107,241310,280417,05:37.604,74,"Name, Director"
27224,220385,247609,04:07.610,73,"Name, Language"
43956,219923,263879,06:02.073,73,"Name, Country"
34367,241941,276308,05:18.987,74,"Name, Genre"
37767,276099,313866,05:23.453,74,"Name, Filming Locations"
44820,464379,509199,06:39.895,74,"Name, Description"
20005,177002,197007,02:49.590,53,"Year, Release Date"
23086,192859,215945,03:19.817,58,"Release Date, Language"
24863,240799,265662,03:39.100,72,"Release Date, Duration"
29250,291190,320440,04:15.507,72,"Release Date, Filming Locations"
60127,241217,301344,07:51.034,69,"Director, Creator"
131502,295174,426676,16:44.426,74,"Director, Actors"
34981,313433,348414,05:04.919,74,"Creator, Actors"
146345,661751,808096,21:26.186,74,"Creator, Cast"
82138,699579,781717,14:17.970,74,"Actors, Cast"
47707,296167,343874,06:44.393,73,"Actors, Genre"
3970,33714,37684,00:36.488,11,"Language, Country"
8581,63891,72472,01:16.448,20,"Language, Genre"
31682,144565,176247,04:32.774,39,"Country, Filming Locations"
11480,87904,99384,01:36.812,30,"Duration, RatingValue"
42471,208582,251053,05:59.367,72,"Duration, RatingCount"
22974,215185,238159,03:33.182,71,"RatingValue, RatingCount"
43848,466000,509848,06:30.042,74,"Genre, Description"
