completion_tokens,prompt_tokens,total_tokens,elapsed_time,batches,prompt_name
17569,227524,245093,03:48.183,74,"Name, Year"
20243,238942,259185,04:24.228,74,"Name, Director"
32642,241349,273991,04:39.890,74,"Name, Genre"
30129,464453,494582,04:50.593,74,"Name, Description"
21355,177638,198993,03:13.915,53,"Year, Release Date"
8134,98337,106471,01:23.175,35,"Year, Duration"
10280,137475,147755,01:48.085,44,"Year, Genre"
29147,449803,478950,04:46.097,74,"Year, Description"
26447,192875,219322,03:34.061,58,"Release Date, Country"
24051,241015,265066,03:33.394,72,"Release Date, Duration"
42871,241562,284433,05:57.241,69,"Director, Creator"
89990,700467,790457,13:29.883,74,"Actors, Cast"
3675,33681,37356,00:37.084,11,"Language, Country"
31260,445732,476992,04:43.908,73,"Language, Description"
6194,61097,67291,00:54.099,19,"Country, Genre"
25589,144487,170076,03:11.672,39,"Country, Filming Locations"
11997,87934,99931,01:49.841,30,"Duration, RatingValue"
37056,207934,244990,05:16.925,72,"Duration, RatingCount"
16332,214049,230381,02:49.067,71,"RatingValue, RatingCount"
40931,466630,507561,05:58.469,73,"ReviewCount, Description"
27488,230907,258395,03:44.594,59,"Genre, Filming Locations"
30375,466370,496745,04:52.748,74,"Genre, Description"

